name,link
Gertrude Elion,https://en.wikipedia.org/wiki/Gertrude_Elion
Gerty Theresa Cori,https://en.wikipedia.org/wiki/Gerty_Cori
Gordon Earle Moore,https://en.wikipedia.org/wiki/Gordon_Moore
Grace Hopper,https://en.wikipedia.org/wiki/Grace_Hopper
Gregor Johann Mendel,https://en.wikipedia.org/wiki/Gregor_Mendel
Grete Hermann,https://en.wikipedia.org/wiki/Grete_Hermann
Har Gobind Khorana,https://en.wikipedia.org/wiki/Har_Gobind_Khorana
Hedy Lamarr,https://en.wikipedia.org/wiki/Hedy_Lamarr
Heinrich Rudolf Hertz,https://en.wikipedia.org/wiki/Heinrich_Hertz
Helen Brooke Taussig,https://en.wikipedia.org/wiki/Helen_B._Taussig
Henri Poincaré,https://en.wikipedia.org/wiki/Henri_Poincar%C3%A9
Henrietta Swan Leavitt,https://en.wikipedia.org/wiki/Henrietta_Swan_Leavitt
Homi J Bhabha,https://en.wikipedia.org/wiki/Homi_J._Bhabha
Horst Feistel,https://en.wikipedia.org/wiki/Horst_Feistel
Hugh Beaver,https://en.wikipedia.org/wiki/Hugh_Beaver
Ian Murdock,https://en.wikipedia.org/wiki/Ian_Murdock
Ida Rhodes,https://en.wikipedia.org/wiki/Ida_Rhodes
Inge Lehmann,https://en.wikipedia.org/wiki/Inge_Lehmann
Irène Joliot Curie,https://en.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie
Isaac Newton,https://en.wikipedia.org/wiki/Isaac_Newton
Ivan Edward Sutherland,https://en.wikipedia.org/wiki/Ivan_Sutherland
Jack Kilby,https://en.wikipedia.org/wiki/Jack_Kilby
James Clerk Maxwell,https://en.wikipedia.org/wiki/James_Clerk_Maxwell
James Henry Ellis,https://en.wikipedia.org/wiki/James_H._Ellis
Jane Colden,https://en.wikipedia.org/wiki/Jane_Colden
Jane Goodall,https://en.wikipedia.org/wiki/Jane_Goodall
Janese Swanson,https://en.wikipedia.org/wiki/Janese_Swanson
Jaroslav Heyrovský,https://en.wikipedia.org/wiki/Jaroslav_Heyrovsk%C3%BD
Jean Bartik,https://en.wikipedia.org/wiki/Jean_Bartik
Jean E. Sammet,https://en.wikipedia.org/wiki/Jean_E._Sammet
Jeannette Wing,https://en.wikipedia.org/wiki/Jeannette_Wing
Joan Clarke,https://en.wikipedia.org/wiki/Joan_Clarke
Joan Curran,"https://en.wikipedia.org/wiki/Joan_Curran,Samuel"
Johann Carl Friedrich,https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss
Johanna Mestorf,https://en.wikipedia.org/wiki/Johanna_Mestorf
Johannes Kepler,https://en.wikipedia.org/wiki/Johannes_Kepler
John Bardeen,https://en.wikipedia.org/wiki/John_Bardeen
"John Forbes Nash, Jr",https://en.wikipedia.org/wiki/John_Forbes_Nash_Jr.
John McCarthy,https://en.wikipedia.org/wiki/John_McCarthy_(computer_scientist)
John Napier,https://en.wikipedia.org/wiki/John_Napier
John von Neumann,https://en.wikipedia.org/wiki/Von_Neumann_architecture
Julia Hall Bowman Robinson,https://en.wikipedia.org/wiki/Julia_Robinson
June Almeida,https://en.wikipedia.org/wiki/June_Almeida
Kadambini Ganguly,https://en.wikipedia.org/wiki/Kadambini_Ganguly
Karen Spärck Jones,https://en.wikipedia.org/wiki/Karen_Sp%C3%A4rck_Jones
Karl Friedrich Benz,https://en.wikipedia.org/wiki/Karl_Benz
Katherine Coleman Goble Johnson,https://en.wikipedia.org/wiki/Katherine_Johnson
Katherine Louise Bouman,https://en.wikipedia.org/wiki/Katie_Bouman
Kathleen Antonelli,https://en.wikipedia.org/wiki/Kathleen_Antonelli
Kathleen Booth,https://en.wikipedia.org/wiki/Kathleen_Booth
Kay McNulty,https://en.wikipedia.org/wiki/ENIAC
Ken Thompson,https://en.wikipedia.org/wiki/Ken_Thompson
Laura Bassi,https://en.wikipedia.org/wiki/Laura_Bassi
Laura Poitras,https://en.wikipedia.org/wiki/Laura_Poitras
Leonardo Da Vinci,https://en.wikipedia.org/wiki/Leonardo_da_Vinci.
Leonhard Euler,https://de.wikipedia.org/wiki/Leonhard_Euler
Leslie B. Lamport,https://en.wikipedia.org/wiki/Leslie_Lamport
Lina Solomonovna Stern,https://en.wikipedia.org/wiki/Lina_Stern
Linda Brown Buck,https://en.wikipedia.org/wiki/Linda_B._Buck
Linus Torvalds,https://en.wikipedia.org/wiki/Linus_Torvalds
Lise Meitner,https://en.wikipedia.org/wiki/Lise_Meitner
Lois Haibt,https://en.wikipedia.org/wiki/Lois_Haibt
Louis Lumière,https://en.wikipedia.org/wiki/Auguste_and_Louis_Lumi%C3%A8re
Louis Pasteur,https://en.wikipedia.org/wiki/Louis_Pasteur.
Lynn Margulis,https://en.wikipedia.org/wiki/Lynn_Margulis
Mae Carol Jemison,https://en.wikipedia.org/wiki/Mae_Jemison
Malcolm John William,https://en.wikipedia.org/wiki/Malcolm_J._Williamson
Malcolm McLean,https://en.wikipedia.org/wiki/Malcom_McLean
Margaret Hamilton,https://en.wikipedia.org/wiki/Margaret_Hamilton_(scientist)
Maria Ardinghelli,https://en.wikipedia.org/wiki/Maria_Ardinghelli
Maria Gaetana Agnesi,https://en.wikipedia.org/wiki/Maria_Gaetana_Agnesi
Maria Kirch,https://en.wikipedia.org/wiki/Maria_Margarethe_Kirch
Maria Mayer,https://en.wikipedia.org/wiki/Maria_Mayer
Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie.
Marie Sophie Germain,https://en.wikipedia.org/wiki/Sophie_Germain
Marie Tharp,https://en.wikipedia.org/wiki/Marie_Tharp
Marie-Jeanne de Lalande,https://en.wikipedia.org/wiki/Marie-Jeanne_de_Lalande
Marlyn Wescoff,https://en.wikipedia.org/wiki/ENIAC
Martin Edward Hellman,https://en.wikipedia.org/wiki/Martin_Hellman
Mary Jackson,https://en.wikipedia.org/wiki/Mary_Jackson_(engineer)
Mary Kenneth Keller,https://en.wikipedia.org/wiki/Mary_Kenneth_Keller
Mary Leakey,https://en.wikipedia.org/wiki/Mary_Leakey
Mary Lou Jepsen,https://en.wikipedia.org/wiki/Mary_Lou_Jepsen
Maryam Mirzakhani,https://en.wikipedia.org/wiki/Maryam_Mirzakhani
May-Britt Moser,https://en.wikipedia.org/wiki/May-Britt_Moser
Meghnad Saha,https://en.wikipedia.org/wiki/Meghnad_Saha
Michael Faraday,https://en.wikipedia.org/wiki/Michael_Faraday
Michael Stonebraker,https://en.wikipedia.org/wiki/Michael_Stonebraker
Mildred Sanderson,https://en.wikipedia.org/wiki/Mildred_Sanderson
Mstislav Keldysh,https://en.wikipedia.org/wiki/Mstislav_Keldysh
Niels Bohr,https://en.wikipedia.org/wiki/Niels_Bohr.
Nikola Tesla,https://en.wikipedia.org/wiki/Nikola_Tesla
Nikolay Yegorovich Zhukovsky,https://en.wikipedia.org/wiki/Nikolay_Yegorovich_Zhukovsky
Omar Khayyam,https://en.wikipedia.org/wiki/Omar_Khayyam
Orville Wright,https://en.wikipedia.org/wiki/Wright_brothers
Pafnuty Chebyshev,https://en.wikipedia.org/wiki/Pafnuty_Chebyshev
Paul Adrien Maurice,https://en.wikipedia.org/wiki/Paul_Dirac
Pierre de Fermat,https://en.wikipedia.org/wiki/Pierre_de_Fermat
Poppy Northcutt,http://www.businessinsider.com/poppy-northcutt-helped-apollo-astronauts-2014-12?op=1
Rachel Carson,https://en.wikipedia.org/wiki/Rachel_Carson
Radia Perlman,https://en.wikipedia.org/wiki/Radia_Perlman
Ralph C. Merkle,https://en.wikipedia.org/wiki/Ralph_Merkle
